"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Heinsius L","Heinsius L","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","7.2336","341.541715426468","-41.2544526856516","Satellite Feature","SF","Adopted by IAU","341.383069992065","341.700361251831","-41.3737258911133","-41.1351776123047","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9812"
"Heinsius M","Heinsius M","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","12.4451","344.603201746839","-40.977467297653","Satellite Feature","SF","Adopted by IAU","344.331396102905","344.87501335144","-41.182674407959","-40.7722587585449","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9813"
"Heinsius N","Heinsius N","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","7.05579","345.231551019308","-37.353775890247","Satellite Feature","SF","Adopted by IAU","345.085187911987","345.37791633606","-37.4701175689697","-37.2374324798584","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9814"
"Heinsius O","Heinsius O","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","4.08271","345.080976482252","-38.8352965791131","Satellite Feature","SF","Adopted by IAU","344.994554519653","345.167402267456","-38.9026165008545","-38.7679767608643","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9815"
"Heinsius P","Heinsius P","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","35.519","346.257526685607","-39.3956680228297","Satellite Feature","SF","Adopted by IAU","345.499750137329","347.015306472778","-39.9813385009766","-38.8099956512451","Germany","Europe","Tycho","LAC-112","http://planetarynames.wr.usgs.gov/Feature/9816"
"Heinsius Q","Heinsius Q","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","33.7008","345.45529727296","-39.8880381193333","Satellite Feature","SF","Adopted by IAU","344.731512069702","346.179086685181","-40.4437274932861","-39.332347869873","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9817"
"Heinsius R","Heinsius R","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","4.56103","339.209557784563","-40.2177585104114","Satellite Feature","SF","Adopted by IAU","339.111059188843","339.308057785034","-40.2929649353027","-40.1425514221191","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9818"
"Heinsius S","Heinsius S","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","6.0785","342.998646803244","-39.6562368074986","Satellite Feature","SF","Adopted by IAU","342.868448257446","343.12885093689","-39.7564640045166","-39.5560073852539","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9819"
"Hercules D","Hercules D","2006-01-01 00:00:00","Latin spelling for Greek mythological hero Heracles.","7.95605","39.7301860213574","44.7868787087144","Satellite Feature","SF","Adopted by IAU","39.5454082489014","39.9149646759033","44.6556911468506","44.9180660247803","Greek","Europe","Geminus","LAC-27","http://planetarynames.wr.usgs.gov/Feature/9891"
"Hercules E","Hercules E","2006-01-01 00:00:00","Latin spelling for Greek mythological hero Heracles.","9.98423","38.6995743420324","45.7993928342858","Satellite Feature","SF","Adopted by IAU","38.4949398040771","38.9042072296143","45.6413593292236","45.9578266143799","Greek","Europe","Geminus","LAC-27","http://planetarynames.wr.usgs.gov/Feature/9892"
